FECHA,SM,SF,S,CM,CF,C,CEM,CEF,CE,EM,EF,E,IM,IF,I,TotalM,TotalF,Total
2020-03-15,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1,2,3
2020-03-16,0,0,0,0,0,0,2,1,3,0,0,0,6,2,8,8,3,11
2020-03-17,0,0,0,0,0,0,2,1,3,0,0,0,6,4,10,8,5,13
2020-03-18,0,1,1,1,1,2,1,0,1,0,0,0,4,3,7,6,5,11
2020-03-19,0,0,0,2,0,2,2,0,2,0,0,0,7,3,10,11,3,14
2020-03-20,0,0,0,2,0,2,1,1,2,0,0,0,7,2,9,10,3,13
2020-03-21,0,0,0,0,0,0,4,4,8,0,0,0,9,5,14,13,9,22
2020-03-22,0,0,0,4,0,4,2,1,3,2,0,2,10,3,13,18,4,22
2020-03-23,2,0,2,3,3,6,6,2,8,1,0,1,4,3,7,16,8,24
2020-03-24,1,0,1,5,4,9,2,2,4,0,0,0,11,3,14,19,9,28
2020-03-25,1,0,1,6,2,8,1,2,3,0,1,1,10,4,14,18,9,27
2020-03-26,0,0,0,1,2,3,4,4,8,0,0,0,7,5,12,12,11,23
2020-03-27,2,0,2,1,4,5,2,2,4,0,1,1,3,3,6,8,10,18
2020-03-28,1,2,3,3,3,6,2,1,3,0,1,1,3,0,3,9,7,16
2020-03-29,3,0,3,6,7,13,0,2,2,0,0,0,4,6,10,13,15,28
2020-03-30,3,1,4,11,8,19,1,0,1,0,0,0,2,3,5,17,12,29
2020-03-31,3,0,3,8,5,13,2,4,6,0,0,0,2,1,3,15,10,25
2020-04-01,0,2,2,10,9,19,1,1,2,1,0,1,3,4,7,15,16,31
2020-04-02,2,2,4,10,4,14,5,10,15,1,0,1,0,1,1,18,17,35
2020-04-03,4,4,8,4,5,9,1,4,5,0,0,0,1,0,1,10,13,23
2020-04-04,1,2,3,3,3,6,0,1,1,1,0,1,0,2,2,5,8,13
2020-04-05,1,3,4,4,3,7,1,2,3,0,0,0,1,1,2,7,9,16
2020-04-06,2,5,7,7,4,11,1,2,3,0,1,1,0,3,3,10,15,25
2020-04-07,1,3,4,8,2,10,2,3,5,0,0,0,1,1,2,12,9,21
2020-04-08,1,7,8,6,2,8,4,2,6,0,0,0,0,0,0,11,11,22
2020-04-09,0,2,2,3,1,4,3,0,3,0,0,0,1,0,1,7,3,10
2020-04-10,0,1,1,4,2,6,1,1,2,0,0,0,0,0,0,5,4,9
2020-04-11,1,1,2,2,1,3,1,1,2,0,0,0,0,1,1,4,4,8
2020-04-12,3,3,6,1,3,4,1,2,3,0,0,0,0,0,0,5,8,13
2020-04-13,3,4,7,4,3,7,2,3,5,0,1,1,0,0,0,9,11,20
2020-04-14,4,1,5,9,7,16,1,1,2,0,0,0,0,0,0,14,9,23
2020-04-15,3,1,4,1,4,5,0,1,1,0,0,0,0,0,0,4,6,10
2020-04-16,2,2,4,7,3,10,3,9,12,0,0,0,1,0,1,13,14,27
2020-04-17,5,4,9,2,9,11,2,2,4,0,0,0,0,0,0,9,15,24
2020-04-18,1,2,3,2,7,9,3,7,10,1,0,1,1,0,1,8,16,24
2020-04-19,1,4,5,6,6,12,3,5,8,0,0,0,0,0,0,10,15,25
2020-04-20,4,2,6,3,4,7,5,5,10,0,0,0,0,0,0,12,11,23
2020-04-21,0,5,5,5,14,19,4,9,13,0,0,0,0,1,1,9,29,38
2020-04-22,2,4,6,17,21,38,6,9,15,1,0,1,0,0,0,26,34,60
2020-04-23,3,2,5,15,11,26,16,15,31,1,0,1,0,0,0,35,28,63
2020-04-24,4,9,13,7,6,13,10,9,19,1,1,2,1,0,1,23,25,48
2020-04-25,0,3,3,11,10,21,2,3,5,1,0,1,0,0,0,14,16,30
2020-04-26,0,4,4,6,5,11,2,3,5,0,0,0,0,0,0,8,12,20
2020-04-27,4,6,10,13,21,34,13,5,18,0,0,0,0,1,1,30,33,63
2020-04-28,6,3,9,12,12,24,2,2,4,0,0,0,2,0,2,22,17,39
2020-04-29,1,3,4,12,12,24,4,5,9,1,0,1,0,0,0,18,20,38
2020-04-30,5,3,8,14,7,21,3,6,9,1,0,1,0,0,0,23,16,39
2020-05-01,2,0,2,9,15,24,10,8,18,2,1,3,0,0,0,23,24,47
2020-05-02,2,2,4,8,6,14,10,15,25,0,0,0,0,0,0,20,23,43
2020-05-03,1,1,2,9,7,16,8,11,19,0,2,2,1,0,1,19,21,40
2020-05-04,4,5,9,14,18,32,8,10,18,4,1,5,0,0,0,30,34,64
2020-05-05,1,6,7,34,35,69,15,31,46,6,5,11,0,1,1,56,78,134
2020-05-06,5,5,10,19,11,30,12,20,32,5,6,11,0,0,0,41,42,83
2020-05-07,2,7,9,22,17,39,24,28,52,6,7,13,0,0,0,54,59,113
2020-05-08,6,6,12,40,31,71,34,39,73,5,2,7,0,0,0,85,78,163
2020-05-09,8,5,13,17,18,35,29,20,49,2,8,10,0,0,0,56,51,107
2020-05-10,5,5,10,19,20,39,88,24,112,4,1,5,0,0,0,116,50,166
2020-05-11,1,5,6,37,35,72,16,22,38,8,3,11,0,0,0,62,65,127
2020-05-12,6,9,15,56,47,103,42,58,100,4,3,7,0,0,0,108,117,225
2020-05-13,2,7,9,53,38,91,35,42,77,3,3,6,0,0,0,93,90,183
2020-05-14,2,3,5,74,69,143,34,43,77,8,12,20,0,0,0,118,127,245
2020-05-15,6,6,12,40,42,82,45,57,102,2,9,11,0,0,0,93,114,207
2020-05-16,5,6,11,56,59,115,34,33,67,5,12,17,0,0,0,100,110,210
2020-05-17,3,10,13,63,42,105,51,42,93,9,4,13,0,0,0,126,98,224
2020-05-18,6,8,14,86,78,164,79,93,172,13,17,30,0,0,0,184,196,380
2020-05-19,7,11,18,87,80,167,73,78,151,5,5,10,0,0,0,172,174,346
2020-05-20,5,20,25,91,79,170,63,74,137,13,12,25,0,0,0,172,185,357
2020-05-21,8,16,24,84,69,153,88,81,169,19,9,28,0,0,0,199,175,374
2020-05-22,5,22,27,74,75,149,77,63,140,10,9,19,0,0,0,166,169,335
2020-05-23,8,9,17,63,63,126,82,95,177,9,11,20,0,0,0,162,178,340
2020-05-24,4,8,12,60,50,110,62,56,118,9,8,17,1,0,1,136,122,258
2020-05-25,10,18,28,46,62,108,76,68,144,14,11,25,0,0,0,146,159,305
2020-05-26,16,15,31,80,73,153,97,112,209,16,13,29,0,0,0,209,213,422
2020-05-27,11,27,38,89,67,156,104,103,207,16,15,31,0,0,0,220,212,432
2020-05-28,14,22,36,106,108,214,99,104,203,13,19,32,0,0,0,232,253,485
2020-05-29,8,16,24,81,100,181,88,103,191,17,15,32,0,0,0,194,234,428
2020-05-30,3,9,12,56,66,122,68,67,135,12,11,23,0,1,1,139,154,293
2020-05-31,4,11,15,67,62,129,48,57,105,9,10,19,0,0,0,128,140,268
2020-06-01,12,12,24,89,85,174,67,85,152,27,25,52,0,0,0,195,207,402
2020-06-02,15,19,34,96,106,202,92,86,178,32,21,53,0,0,0,235,232,467
2020-06-03,10,19,29,108,110,218,71,76,147,26,24,50,0,0,0,215,229,444
2020-06-04,11,22,33,94,108,202,62,87,149,24,18,42,0,0,0,191,235,426
2020-06-05,8,22,30,102,120,222,111,82,193,26,25,51,0,0,0,247,249,496
2020-06-06,9,31,40,96,84,180,66,85,151,21,11,32,0,0,0,192,211,403
2020-06-07,8,9,17,66,69,135,78,91,169,9,10,19,0,0,0,161,179,340
2020-06-08,18,38,56,143,122,265,106,113,219,45,39,84,0,0,0,312,312,624
2020-06-09,16,20,36,127,143,270,111,117,228,46,37,83,0,0,0,300,317,617
2020-06-10,23,18,41,127,127,254,95,144,239,37,37,74,0,1,1,282,327,609
2020-06-11,25,26,51,149,150,299,127,128,255,44,27,71,0,0,0,345,331,676
2020-06-12,12,31,43,173,153,326,106,119,225,37,30,67,0,0,0,328,333,661
2020-06-13,11,24,35,107,100,207,114,135,249,25,26,51,0,0,0,257,285,542
2020-06-14,19,19,38,73,80,153,74,96,170,16,13,29,0,0,0,182,208,390
2020-06-15,13,24,37,102,84,186,97,87,184,29,13,42,0,0,0,241,208,449
2020-06-16,20,33,53,163,145,308,129,137,266,62,39,101,0,0,0,374,354,728
2020-06-17,19,45,64,220,192,412,159,168,327,55,41,96,0,0,0,453,446,899
2020-06-18,24,46,70,232,176,408,136,163,299,64,53,117,0,0,0,456,438,894
2020-06-19,34,47,81,209,189,398,136,169,305,49,36,85,0,0,0,428,441,869
2020-06-20,25,29,54,153,145,298,139,152,291,39,48,87,0,0,0,356,374,730
2020-06-21,21,20,41,117,118,235,107,114,221,38,32,70,0,0,0,283,284,567
2020-06-22,23,40,63,248,211,459,230,159,389,66,53,119,0,0,0,567,463,1030
2020-06-23,29,45,74,224,186,410,164,184,348,54,57,111,0,0,0,471,472,943
2020-06-24,38,56,94,218,171,389,154,171,325,56,44,100,0,0,0,466,442,908
2020-06-25,27,46,73,203,193,396,164,178,342,55,42,97,0,0,0,449,459,908
2020-06-26,34,47,81,203,209,412,179,174,353,46,49,95,0,0,0,462,479,941
2020-06-27,23,28,51,153,174,327,145,141,286,39,28,67,0,0,0,360,371,731
2020-06-28,29,38,67,164,128,292,114,101,215,30,25,55,0,0,0,337,292,629
2020-06-29,36,47,83,238,195,433,148,169,317,57,36,93,0,0,0,479,447,926
2020-06-30,47,58,105,229,190,419,141,161,302,39,38,77,0,0,0,456,447,903
2020-07-01,34,52,86,231,191,422,139,146,285,42,29,71,0,0,0,446,418,864
2020-07-02,39,60,99,241,224,465,161,164,325,34,34,68,0,0,0,475,482,957
2020-07-03,52,56,108,268,225,493,151,158,309,42,53,95,0,0,0,513,492,1005
2020-07-04,24,48,72,213,267,480,112,110,222,42,29,71,1,1,2,392,455,847
2020-07-05,32,46,78,169,181,350,120,117,237,36,30,66,0,0,0,357,374,731
2020-07-06,49,89,138,283,266,549,163,141,304,57,41,98,0,0,0,552,537,1089
2020-07-07,40,62,102,279,241,520,156,152,308,57,37,94,0,1,1,532,493,1025
2020-07-08,43,74,117,298,327,625,156,156,312,53,46,99,0,0,0,550,603,1153
2020-07-09,19,53,72,230,240,470,137,119,256,53,51,104,0,0,0,439,463,902
2020-07-10,27,52,79,216,234,450,144,134,278,62,36,98,0,0,0,449,456,905
2020-07-11,30,38,68,206,197,403,113,130,243,56,51,107,0,0,0,405,416,821
2020-07-12,27,38,65,172,150,322,112,102,214,45,41,86,0,0,0,356,331,687
2020-07-13,45,82,127,346,367,713,172,127,299,49,41,90,0,0,0,612,617,1229
2020-07-14,54,66,120,302,281,583,149,172,321,54,42,96,0,0,0,559,561,1120
2020-07-15,42,82,124,334,283,617,123,174,297,56,45,101,1,1,2,556,585,1141
2020-07-16,44,72,116,326,330,656,159,159,318,65,58,123,0,0,0,594,619,1213
2020-07-17,37,82,119,328,350,678,130,146,276,38,37,75,0,0,0,533,615,1148
2020-07-18,44,70,114,338,339,677,102,93,195,39,30,69,0,0,0,523,532,1055
2020-07-19,47,51,98,250,257,507,104,129,233,64,42,106,0,0,0,465,479,944
2020-07-20,62,90,152,355,352,707,150,161,311,92,65,157,0,0,0,659,668,1327
2020-07-21,57,95,152,349,359,708,188,193,381,90,64,154,0,0,0,684,711,1395
2020-07-22,58,75,133,370,302,672,168,170,338,88,69,157,0,0,0,684,616,1300
2020-07-23,38,71,109,319,291,610,159,153,312,79,72,151,1,0,1,596,587,1183
2020-07-24,39,92,131,360,328,688,175,163,338,67,52,119,0,0,0,641,635,1276
2020-07-25,51,64,115,274,221,495,104,129,233,36,33,69,0,0,0,465,447,912
2020-07-26,32,35,67,220,258,478,73,107,180,40,27,67,0,0,0,365,427,792
2020-07-27,40,80,120,417,392,809,103,95,198,45,32,77,0,0,0,605,599,1204
2020-07-28,47,68,115,417,367,784,96,110,206,60,50,110,0,0,0,620,595,1215
2020-07-29,30,70,100,327,319,646,144,141,285,68,70,138,1,0,1,570,600,1170
2020-07-30,40,63,103,328,357,685,147,135,282,73,66,139,0,0,0,588,621,1209
2020-07-31,48,74,122,308,317,625,142,151,293,72,55,127,3,0,3,573,597,1170
2020-08-01,41,62,103,283,282,565,131,149,280,56,62,118,0,0,0,511,555,1066
2020-08-02,39,48,87,276,281,557,109,119,228,47,35,82,0,0,0,471,483,954
2020-08-03,52,78,130,433,451,884,182,181,363,95,96,191,0,0,0,762,806,1568
2020-08-04,44,86,130,398,445,843,181,165,346,103,80,183,1,0,1,727,776,1503
2020-08-05,44,58,102,468,530,998,150,106,256,94,71,165,0,0,0,756,765,1521
2020-08-06,37,67,104,337,340,677,151,147,298,79,71,150,0,0,0,604,625,1229
2020-08-07,31,70,101,337,325,662,122,128,250,74,72,146,0,0,0,564,595,1159
2020-08-08,29,58,87,244,320,564,97,105,202,52,41,93,0,0,0,422,524,946
2020-08-09,24,34,58,245,231,476,80,87,167,53,44,97,0,0,0,402,396,798
2020-08-10,39,61,100,376,405,781,125,147,272,68,54,122,0,0,0,608,667,1275
2020-08-11,32,58,90,358,357,715,113,103,216,74,63,137,0,0,0,577,581,1158
2020-08-12,37,78,115,334,308,642,120,121,241,74,63,137,0,0,0,565,570,1135
2020-08-13,29,57,86,336,308,644,86,95,181,67,61,128,0,0,0,518,521,1039
2020-08-14,36,50,86,330,293,623,107,125,232,49,55,104,0,0,0,522,523,1045
2020-08-15,31,45,76,300,384,684,79,82,161,49,46,95,0,0,0,459,557,1016
2020-08-16,25,34,59,218,200,418,73,74,147,59,23,82,0,0,0,375,331,706
2020-08-17,25,38,63,325,318,643,92,87,179,53,40,93,0,1,1,495,484,979
2020-08-18,51,75,126,379,405,784,115,95,210,109,76,185,1,0,1,655,651,1306
2020-08-19,47,61,108,397,430,827,109,112,221,108,60,168,0,0,0,661,663,1324
2020-08-20,38,44,82,380,371,751,130,104,234,73,49,122,0,0,0,621,568,1189
2020-08-21,44,67,111,365,348,713,117,115,232,70,67,137,0,0,0,596,597,1193
2020-08-22,23,46,69,279,302,581,117,90,207,68,48,116,0,0,0,487,486,973
2020-08-23,32,35,67,257,266,523,90,103,193,66,58,124,0,0,0,445,462,907
2020-08-24,38,74,112,452,378,830,115,135,250,99,79,178,0,0,0,704,666,1370
2020-08-25,35,66,101,510,505,1015,102,110,212,81,83,164,0,0,0,728,764,1492
2020-08-26,56,51,107,565,514,1079,101,101,202,80,80,160,0,0,0,802,746,1548
2020-08-27,43,64,107,515,534,1049,111,138,249,68,61,129,0,0,0,737,797,1534
2020-08-28,35,51,86,451,436,887,108,118,226,81,80,161,0,0,0,675,685,1360
2020-08-29,20,53,73,316,335,651,101,91,192,58,58,116,0,0,0,495,537,1032
2020-08-30,19,36,55,287,274,561,56,71,127,61,52,113,0,0,0,423,433,856
2020-08-31,38,64,102,495,529,1024,88,82,170,74,54,128,0,0,0,695,729,1424
2020-09-01,26,36,62,502,490,992,77,86,163,68,64,132,0,0,0,673,676,1349
2020-09-02,26,41,67,381,358,739,78,69,147,53,70,123,0,0,0,538,538,1076
2020-09-03,34,34,68,398,377,775,81,86,167,73,56,129,0,0,0,586,553,1139
2020-09-04,31,73,104,415,381,796,72,73,145,50,61,111,0,0,0,568,588,1156
2020-09-05,20,36,56,329,354,683,60,70,130,60,53,113,0,0,0,469,513,982
2020-09-06,16,33,49,239,236,475,62,47,109,43,43,86,1,0,1,361,359,720
2020-09-07,26,49,75,463,462,925,73,91,164,60,37,97,0,0,0,622,639,1261
2020-09-08,27,61,88,459,443,902,96,81,177,50,57,107,0,0,0,632,642,1274
2020-09-09,26,49,75,467,439,906,87,78,165,50,46,96,0,0,0,630,612,1242
2020-09-10,21,42,63,418,428,846,84,72,156,60,60,120,0,0,0,583,602,1185
2020-09-11,28,44,72,413,406,819,65,94,159,59,43,102,0,0,0,565,587,1152
2020-09-12,23,36,59,267,329,596,48,54,102,39,35,74,0,0,0,377,454,831
2020-09-13,21,34,55,265,264,529,39,53,92,39,37,76,0,0,0,364,388,752
2020-09-14,27,35,62,350,382,732,74,62,136,61,49,110,0,0,0,512,528,1040
2020-09-15,25,27,52,366,362,728,51,76,127,50,44,94,0,0,0,492,509,1001
2020-09-16,30,21,51,377,422,799,49,41,90,50,36,86,0,0,0,506,520,1026
2020-09-17,12,31,43,310,285,595,45,72,117,75,56,131,0,0,0,442,444,886
2020-09-18,21,38,59,339,377,716,46,61,107,45,32,77,0,0,0,451,508,959
2020-09-19,21,24,45,243,246,489,50,36,86,27,43,70,0,0,0,341,349,690
2020-09-20,1,28,29,181,200,381,36,39,75,31,28,59,0,0,0,249,295,544
2020-09-21,23,33,56,325,268,593,48,43,91,51,39,90,0,0,0,447,383,830
2020-09-22,21,33,54,348,354,702,40,45,85,50,42,92,0,0,0,459,474,933
2020-09-23,15,37,52,314,339,653,51,42,93,54,49,103,0,0,0,434,467,901
2020-09-24,24,38,62,344,333,677,51,61,112,56,27,83,0,0,0,475,459,934
2020-09-25,26,22,48,341,372,713,54,62,116,48,37,85,0,0,0,469,493,962
2020-09-26,7,22,29,219,232,451,38,48,86,50,31,81,0,0,0,314,333,647
2020-09-27,17,20,37,224,200,424,56,40,96,51,30,81,0,0,0,348,290,638
2020-09-28,10,32,42,344,344,688,52,45,97,49,54,103,0,0,0,455,475,930
2020-09-29,16,24,40,353,341,694,42,57,99,77,49,126,0,0,0,488,471,959
2020-09-30,13,27,40,323,345,668,53,51,104,83,46,129,0,0,0,472,469,941
2020-10-01,14,29,43,293,326,619,52,51,103,45,50,95,0,0,0,404,456,860
2020-10-02,11,32,43,326,352,678,40,44,84,43,43,86,0,0,0,420,471,891
2020-10-03,9,7,16,209,203,412,42,33,75,32,38,70,0,0,0,292,281,573
2020-10-04,12,12,24,175,184,359,25,32,57,21,18,39,0,0,0,233,246,479
2020-10-05,24,27,51,291,306,597,56,46,102,33,34,67,0,0,0,404,413,817
2020-10-06,15,29,44,331,329,660,60,51,111,52,42,94,0,0,0,458,451,909
2020-10-07,10,21,31,282,313,595,49,59,108,53,29,82,0,0,0,394,422,816
2020-10-08,16,22,38,273,336,609,43,70,113,43,31,74,0,0,0,375,459,834
2020-10-09,16,24,40,266,355,621,56,61,117,42,33,75,0,0,0,380,473,853
2020-10-10,12,18,30,220,234,454,37,41,78,27,27,54,0,0,0,296,320,616
2020-10-11,9,13,22,164,204,368,22,29,51,18,16,34,1,0,1,214,262,476
2020-10-12,15,7,22,223,238,461,54,42,96,27,16,43,0,0,0,319,303,622
2020-10-13,17,27,44,309,292,601,50,45,95,50,38,88,0,0,0,426,402,828
2020-10-14,12,27,39,302,300,602,35,34,69,47,37,84,0,0,0,396,398,794
2020-10-15,18,21,39,307,310,617,50,47,97,35,25,60,1,0,1,411,403,814
2020-10-16,11,31,42,282,306,588,47,58,105,36,37,73,0,0,0,376,432,808
2020-10-17,5,14,19,207,189,396,44,54,98,23,22,45,0,0,0,279,279,558
2020-10-18,4,8,12,148,145,293,22,26,48,17,17,34,0,0,0,191,196,387
2020-10-19,10,26,36,239,216,455,41,37,78,30,21,51,0,1,1,320,301,621
