FECHA,SM,SF,S,CM,CF,C,CEM,CEF,CE,EM,EF,E,IM,IF,I,TotalM,TotalF,Total
2020-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
2020-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
2020-03-21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2
2020-03-22,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
2020-03-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
2020-03-25,0,0,0,2,1,3,0,1,1,0,1,1,0,0,0,2,3,5
2020-03-26,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,3,0,3
2020-03-27,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,2,0,2
2020-03-28,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,2,0,2
2020-03-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,0,0,0,1,1,2,1,0,1,0,0,0,1,0,1,3,1,4
2020-03-31,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,2
2020-04-01,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,2
2020-04-02,0,0,0,1,0,1,1,1,2,1,0,1,0,0,0,3,1,4
2020-04-03,0,0,0,1,1,2,0,2,2,0,0,0,0,0,0,1,3,4
2020-04-04,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2020-04-05,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,2,1,3
2020-04-06,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,2
2020-04-07,0,0,0,0,0,0,1,1,2,0,0,0,0,1,1,1,2,3
2020-04-08,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,2,1,3
2020-04-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-11,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,2,0,2
2020-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-14,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,3,1,4
2020-04-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-17,0,0,0,2,4,6,1,1,2,0,0,0,0,0,0,3,5,8
2020-04-18,0,0,0,0,3,3,1,2,3,1,0,1,0,0,0,2,5,7
2020-04-19,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2020-04-20,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,2,1,3
2020-04-21,0,0,0,2,3,5,3,0,3,0,0,0,0,0,0,5,3,8
2020-04-22,0,0,0,4,5,9,1,3,4,0,0,0,0,0,0,5,8,13
2020-04-23,0,0,0,4,3,7,2,3,5,0,0,0,0,0,0,6,6,12
2020-04-24,0,0,0,1,0,1,0,2,2,1,0,1,0,0,0,2,2,4
2020-04-25,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,1,2,3
2020-04-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-27,0,0,0,0,2,2,5,0,5,0,0,0,0,0,0,5,2,7
2020-04-28,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,1,2,3
2020-04-29,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2020-04-30,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2020-05-01,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,2,1,3
2020-05-02,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
2020-05-03,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3
2020-05-04,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,1,2,3
2020-05-05,0,0,0,5,3,8,0,0,0,0,0,0,0,0,0,5,3,8
2020-05-06,0,0,0,5,2,7,0,0,0,0,1,1,0,0,0,5,3,8
2020-05-07,0,0,0,2,3,5,1,0,1,0,0,0,0,0,0,3,3,6
2020-05-08,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
2020-05-09,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,2
2020-05-10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
2020-05-11,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,2,1,3
2020-05-12,0,0,0,4,4,8,3,3,6,0,0,0,0,0,0,7,7,14
2020-05-13,0,1,1,2,3,5,1,0,1,0,0,0,0,0,0,3,4,7
2020-05-14,0,0,0,4,2,6,0,0,0,0,0,0,0,0,0,4,2,6
2020-05-15,0,0,0,1,2,3,0,1,1,0,1,1,0,0,0,1,4,5
2020-05-16,0,0,0,3,4,7,1,2,3,0,1,1,0,0,0,4,7,11
2020-05-17,0,0,0,4,5,9,3,0,3,0,0,0,0,0,0,7,5,12
2020-05-18,0,0,0,6,2,8,1,0,1,1,0,1,0,0,0,8,2,10
2020-05-19,0,0,0,3,1,4,0,1,1,0,0,0,0,0,0,3,2,5
2020-05-20,0,0,0,6,4,10,1,2,3,1,0,1,0,0,0,8,6,14
2020-05-21,0,0,0,1,3,4,1,1,2,1,1,2,0,0,0,3,5,8
2020-05-22,0,0,0,3,2,5,1,0,1,0,0,0,0,0,0,4,2,6
2020-05-23,0,0,0,7,2,9,1,3,4,0,0,0,0,0,0,8,5,13
2020-05-24,0,0,0,1,1,2,1,1,2,1,0,1,0,0,0,3,2,5
2020-05-25,0,0,0,3,6,9,1,1,2,1,1,2,0,0,0,5,8,13
2020-05-26,0,0,0,7,3,10,1,3,4,1,1,2,0,0,0,9,7,16
2020-05-27,0,0,0,2,4,6,3,3,6,2,0,2,0,0,0,7,7,14
2020-05-28,0,0,0,8,13,21,4,9,13,1,0,1,0,0,0,13,22,35
2020-05-29,0,0,0,3,9,12,3,2,5,2,1,3,0,0,0,8,12,20
2020-05-30,0,0,0,4,1,5,2,0,2,2,0,2,0,0,0,8,1,9
2020-05-31,0,0,0,6,5,11,1,0,1,3,0,3,0,0,0,10,5,15
2020-06-01,0,0,0,3,4,7,3,0,3,1,1,2,0,0,0,7,5,12
2020-06-02,1,0,1,6,6,12,5,2,7,2,2,4,0,0,0,14,10,24
2020-06-03,0,0,0,5,4,9,5,0,5,3,1,4,0,0,0,13,5,18
2020-06-04,0,1,1,8,4,12,2,5,7,1,1,2,0,0,0,11,11,22
2020-06-05,1,1,2,6,9,15,4,4,8,1,0,1,0,0,0,12,14,26
2020-06-06,0,0,0,5,2,7,2,7,9,1,1,2,0,0,0,8,10,18
2020-06-07,0,0,0,2,4,6,4,5,9,0,0,0,0,0,0,6,9,15
2020-06-08,0,0,0,9,3,12,5,2,7,1,1,2,0,0,0,15,6,21
2020-06-09,0,0,0,4,5,9,2,5,7,1,0,1,0,0,0,7,10,17
2020-06-10,0,0,0,6,7,13,2,8,10,2,0,2,0,0,0,10,15,25
2020-06-11,0,0,0,7,10,17,2,1,3,3,0,3,0,0,0,12,11,23
2020-06-12,0,0,0,16,2,18,2,3,5,0,0,0,0,0,0,18,5,23
2020-06-13,0,0,0,5,10,15,3,4,7,0,3,3,0,0,0,8,17,25
2020-06-14,0,0,0,4,6,10,3,2,5,1,0,1,0,0,0,8,8,16
2020-06-15,0,0,0,4,5,9,1,1,2,1,1,2,0,0,0,6,7,13
2020-06-16,0,0,0,15,6,21,2,3,5,1,1,2,0,0,0,18,10,28
2020-06-17,0,0,0,13,8,21,5,3,8,1,2,3,0,0,0,19,13,32
2020-06-18,0,0,0,13,4,17,3,2,5,1,1,2,0,0,0,17,7,24
2020-06-19,0,0,0,13,8,21,2,8,10,3,3,6,0,0,0,18,19,37
2020-06-20,1,0,1,10,9,19,4,6,10,1,0,1,0,0,0,16,15,31
2020-06-21,0,0,0,5,7,12,2,6,8,3,1,4,0,0,0,10,14,24
2020-06-22,0,1,1,13,10,23,6,3,9,4,3,7,0,0,0,23,17,40
2020-06-23,0,0,0,18,6,24,3,5,8,3,3,6,0,0,0,24,14,38
2020-06-24,0,0,0,10,14,24,3,1,4,3,1,4,0,0,0,16,16,32
2020-06-25,0,0,0,14,18,32,2,1,3,4,1,5,0,0,0,20,20,40
2020-06-26,0,0,0,11,9,20,1,2,3,2,1,3,0,0,0,14,12,26
2020-06-27,1,1,2,9,7,16,1,2,3,1,1,2,0,0,0,12,11,23
2020-06-28,0,0,0,4,11,15,3,1,4,1,2,3,0,0,0,8,14,22
2020-06-29,0,0,0,15,14,29,3,2,5,2,2,4,0,0,0,20,18,38
2020-06-30,2,0,2,17,18,35,4,8,12,5,2,7,0,0,0,28,28,56
2020-07-01,0,0,0,19,8,27,2,3,5,2,0,2,0,0,0,23,11,34
2020-07-02,0,0,0,17,9,26,1,2,3,1,2,3,0,0,0,19,13,32
2020-07-03,0,0,0,8,14,22,6,8,14,1,1,2,0,0,0,15,23,38
2020-07-04,0,1,1,8,25,33,2,5,7,3,1,4,0,0,0,13,32,45
2020-07-05,0,0,0,11,18,29,3,4,7,2,5,7,0,0,0,16,27,43
2020-07-06,0,0,0,19,21,40,9,9,18,6,4,10,0,0,0,34,34,68
2020-07-07,1,0,1,24,16,40,6,4,10,5,1,6,0,0,0,36,21,57
2020-07-08,0,0,0,19,20,39,3,3,6,3,2,5,0,0,0,25,25,50
2020-07-09,0,0,0,13,17,30,3,3,6,3,1,4,0,0,0,19,21,40
2020-07-10,0,0,0,22,21,43,2,5,7,4,3,7,0,0,0,28,29,57
2020-07-11,0,0,0,9,14,23,3,3,6,3,0,3,0,0,0,15,17,32
2020-07-12,0,0,0,18,13,31,8,2,10,2,3,5,0,0,0,28,18,46
2020-07-13,0,0,0,17,24,41,5,4,9,2,1,3,0,0,0,24,29,53
2020-07-14,3,0,3,24,20,44,3,7,10,4,1,5,0,0,0,34,28,62
2020-07-15,1,0,1,24,15,39,5,6,11,3,3,6,0,1,1,33,25,58
2020-07-16,0,0,0,22,17,39,3,5,8,9,2,11,0,0,0,34,24,58
2020-07-17,0,0,0,29,29,58,5,3,8,4,1,5,0,0,0,38,33,71
2020-07-18,1,1,2,11,15,26,4,6,10,3,1,4,0,0,0,19,23,42
2020-07-19,0,0,0,15,13,28,2,3,5,5,3,8,0,0,0,22,19,41
2020-07-20,0,0,0,19,14,33,5,5,10,6,4,10,0,0,0,30,23,53
2020-07-21,1,0,1,20,21,41,9,6,15,7,3,10,0,0,0,37,30,67
2020-07-22,0,0,0,22,14,36,1,6,7,5,3,8,0,0,0,28,23,51
2020-07-23,1,0,1,12,20,32,3,3,6,5,2,7,0,0,0,21,25,46
2020-07-24,0,1,1,18,22,40,3,0,3,6,3,9,0,0,0,27,26,53
2020-07-25,1,1,2,18,20,38,1,3,4,0,2,2,0,0,0,20,26,46
2020-07-26,3,0,3,15,15,30,3,3,6,3,1,4,0,0,0,24,19,43
2020-07-27,0,0,0,21,18,39,0,2,2,3,4,7,0,0,0,24,24,48
2020-07-28,1,0,1,19,23,42,2,3,5,6,5,11,0,0,0,28,31,59
2020-07-29,0,0,0,15,10,25,5,2,7,3,1,4,0,0,0,23,13,36
2020-07-30,0,1,1,14,13,27,2,3,5,1,5,6,0,0,0,17,22,39
2020-07-31,0,0,0,12,26,38,3,3,6,3,2,5,0,0,0,18,31,49
2020-08-01,0,0,0,12,14,26,2,3,5,5,2,7,0,0,0,19,19,38
2020-08-02,0,0,0,15,20,35,3,2,5,2,4,6,0,0,0,20,26,46
2020-08-03,0,1,1,21,32,53,4,4,8,4,2,6,0,0,0,29,39,68
2020-08-04,2,0,2,15,31,46,6,1,7,7,2,9,0,0,0,30,34,64
2020-08-05,0,0,0,19,27,46,5,2,7,6,6,12,0,0,0,30,35,65
2020-08-06,0,0,0,18,18,36,2,6,8,6,0,6,0,0,0,26,24,50
2020-08-07,0,0,0,17,14,31,1,0,1,1,3,4,0,0,0,19,17,36
2020-08-08,0,0,0,15,16,31,2,2,4,2,2,4,0,0,0,19,20,39
2020-08-09,1,0,1,18,9,27,5,3,8,2,3,5,0,0,0,26,15,41
2020-08-10,0,0,0,10,15,25,3,7,10,5,4,9,0,0,0,18,26,44
2020-08-11,0,0,0,11,14,25,1,3,4,7,2,9,0,0,0,19,19,38
2020-08-12,0,0,0,9,13,22,1,2,3,4,2,6,0,0,0,14,17,31
2020-08-13,0,0,0,13,13,26,4,1,5,4,1,5,0,0,0,21,15,36
2020-08-14,1,0,1,10,8,18,1,0,1,5,2,7,0,0,0,17,10,27
2020-08-15,0,0,0,15,20,35,7,5,12,2,2,4,0,0,0,24,27,51
2020-08-16,0,0,0,11,15,26,0,1,1,6,0,6,0,0,0,17,16,33
2020-08-17,0,0,0,10,6,16,3,3,6,1,3,4,0,0,0,14,12,26
2020-08-18,0,0,0,14,20,34,4,4,8,3,4,7,0,0,0,21,28,49
2020-08-19,1,0,1,21,19,40,4,3,7,8,1,9,0,0,0,34,23,57
2020-08-20,1,0,1,21,13,34,2,5,7,5,0,5,0,0,0,29,18,47
2020-08-21,0,0,0,12,15,27,3,3,6,3,4,7,0,0,0,18,22,40
2020-08-22,0,0,0,8,10,18,7,1,8,4,0,4,0,0,0,19,11,30
2020-08-23,0,0,0,17,11,28,7,1,8,4,3,7,0,0,0,28,15,43
2020-08-24,0,0,0,15,15,30,3,1,4,2,2,4,0,0,0,20,18,38
2020-08-25,0,0,0,25,19,44,4,5,9,1,4,5,0,0,0,30,28,58
2020-08-26,0,0,0,11,20,31,7,2,9,3,6,9,0,0,0,21,28,49
2020-08-27,0,0,0,15,12,27,4,5,9,8,2,10,0,0,0,27,19,46
2020-08-28,0,0,0,18,9,27,2,1,3,2,3,5,0,0,0,22,13,35
2020-08-29,0,0,0,13,9,22,5,1,6,1,0,1,0,0,0,19,10,29
2020-08-30,1,0,1,21,10,31,0,2,2,2,1,3,0,0,0,24,13,37
2020-08-31,0,0,0,25,7,32,6,4,10,1,2,3,0,0,0,32,13,45
2020-09-01,0,0,0,14,11,25,7,3,10,4,5,9,0,0,0,25,19,44
2020-09-02,1,0,1,11,12,23,6,3,9,3,5,8,0,0,0,21,20,41
2020-09-03,1,0,1,18,16,34,3,3,6,3,2,5,0,0,0,25,21,46
2020-09-04,0,0,0,5,7,12,1,3,4,2,8,10,0,0,0,8,18,26
2020-09-05,1,0,1,10,14,24,7,3,10,1,4,5,0,0,0,19,21,40
2020-09-06,0,0,0,13,8,21,4,2,6,4,3,7,0,0,0,21,13,34
2020-09-07,1,0,1,19,17,36,2,7,9,5,1,6,0,0,0,27,25,52
2020-09-08,0,0,0,17,17,34,3,3,6,7,4,11,0,0,0,27,24,51
2020-09-09,2,0,2,16,16,32,3,1,4,5,3,8,0,0,0,26,20,46
2020-09-10,0,0,0,16,12,28,1,4,5,3,3,6,0,0,0,20,19,39
2020-09-11,1,0,1,11,12,23,2,1,3,1,4,5,0,0,0,15,17,32
2020-09-12,0,0,0,8,15,23,3,2,5,0,0,0,0,0,0,11,17,28
2020-09-13,0,0,0,7,6,13,2,0,2,1,3,4,0,0,0,10,9,19
2020-09-14,0,0,0,11,12,23,4,0,4,4,0,4,0,0,0,19,12,31
2020-09-15,0,0,0,11,9,20,2,2,4,4,0,4,0,0,0,17,11,28
2020-09-16,1,0,1,7,13,20,3,1,4,3,3,6,0,0,0,14,17,31
2020-09-17,1,0,1,10,5,15,1,2,3,3,4,7,0,0,0,15,11,26
2020-09-18,0,0,0,5,9,14,1,4,5,5,2,7,0,0,0,11,15,26
2020-09-19,0,0,0,7,9,16,1,2,3,1,2,3,0,0,0,9,13,22
2020-09-20,0,0,0,7,6,13,2,1,3,1,1,2,0,0,0,10,8,18
2020-09-21,0,0,0,3,9,12,4,0,4,3,1,4,0,0,0,10,10,20
2020-09-22,0,0,0,11,10,21,0,2,2,1,1,2,0,0,0,12,13,25
2020-09-23,0,0,0,10,10,20,1,1,2,3,3,6,0,0,0,14,14,28
2020-09-24,0,0,0,10,9,19,0,0,0,2,0,2,0,0,0,12,9,21
2020-09-25,2,0,2,9,16,25,2,2,4,3,1,4,0,0,0,16,19,35
2020-09-26,0,0,0,6,6,12,4,0,4,1,1,2,0,0,0,11,7,18
2020-09-27,0,0,0,7,6,13,0,5,5,3,0,3,0,0,0,10,11,21
2020-09-28,0,0,0,12,4,16,3,1,4,5,1,6,0,0,0,20,6,26
2020-09-29,0,0,0,9,7,16,0,2,2,4,3,7,0,0,0,13,12,25
2020-09-30,0,0,0,13,7,20,2,1,3,2,2,4,0,0,0,17,10,27
2020-10-01,0,0,0,11,9,20,2,1,3,2,3,5,0,0,0,15,13,28
2020-10-02,0,1,1,9,9,18,1,2,3,1,2,3,0,0,0,11,14,25
2020-10-03,0,0,0,4,1,5,1,0,1,2,1,3,0,0,0,7,2,9
2020-10-04,0,0,0,5,3,8,1,0,1,3,1,4,0,0,0,9,4,13
2020-10-05,0,0,0,9,9,18,3,0,3,0,3,3,0,0,0,12,12,24
2020-10-06,0,0,0,7,5,12,2,0,2,2,0,2,0,0,0,11,5,16
2020-10-07,0,0,0,5,9,14,0,1,1,1,0,1,0,0,0,6,10,16
2020-10-08,0,0,0,9,10,19,2,2,4,1,3,4,0,0,0,12,15,27
2020-10-09,0,0,0,9,7,16,3,0,3,4,1,5,0,0,0,16,8,24
2020-10-10,0,0,0,9,5,14,1,0,1,1,0,1,0,0,0,11,5,16
2020-10-11,0,0,0,5,4,9,0,1,1,3,1,4,0,0,0,8,6,14
2020-10-12,0,0,0,6,1,7,2,3,5,1,0,1,0,0,0,9,4,13
2020-10-13,0,0,0,8,8,16,1,1,2,4,0,4,0,0,0,13,9,22
2020-10-14,0,0,0,8,6,14,1,2,3,3,2,5,0,0,0,12,10,22
2020-10-15,0,1,1,7,3,10,0,1,1,2,3,5,0,0,0,9,8,17
2020-10-16,0,0,0,8,10,18,1,1,2,3,1,4,0,0,0,12,12,24
2020-10-17,0,0,0,7,6,13,3,2,5,2,0,2,0,0,0,12,8,20
2020-10-18,0,0,0,3,4,7,2,0,2,0,0,0,0,0,0,5,4,9
2020-10-19,0,0,0,3,5,8,1,2,3,0,1,1,0,0,0,4,8,12
2020-10-20,0,0,0,8,1,9,1,3,4,3,1,4,0,0,0,12,5,17
2020-10-21,0,0,0,5,3,8,0,0,0,2,0,2,0,0,0,7,3,10
2020-10-22,0,0,0,2,1,3,1,3,4,1,0,1,0,0,0,4,4,8
2020-10-23,0,0,0,6,8,14,1,0,1,3,2,5,0,0,0,10,10,20
2020-10-24,0,0,0,4,4,8,1,2,3,0,0,0,0,0,0,5,6,11
2020-10-25,0,0,0,3,2,5,0,1,1,1,1,2,0,0,0,4,4,8
2020-10-26,0,0,0,7,6,13,4,0,4,2,1,3,0,0,0,13,7,20
2020-10-27,0,0,0,7,6,13,1,0,1,2,2,4,0,0,0,10,8,18
2020-10-28,2,0,2,4,1,5,0,0,0,3,1,4,0,0,0,9,2,11
2020-10-29,0,0,0,4,1,5,1,0,1,1,1,2,0,0,0,6,2,8
2020-10-30,0,0,0,6,3,9,0,0,0,0,1,1,0,0,0,6,4,10
2020-10-31,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,2,1,3
2020-11-01,0,0,0,1,2,3,0,0,0,1,0,1,0,0,0,2,2,4
2020-11-02,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,1,2
2020-11-03,0,0,0,0,6,6,1,0,1,0,1,1,0,0,0,1,7,8
2020-11-04,0,0,0,3,5,8,0,0,0,0,0,0,0,0,0,3,5,8
2020-11-05,0,0,0,3,2,5,0,0,0,3,1,4,0,0,0,6,3,9
2020-11-06,0,0,0,5,4,9,0,1,1,4,0,4,0,0,0,9,5,14
2020-11-07,0,0,0,2,1,3,0,1,1,0,1,1,0,0,0,2,3,5
2020-11-08,0,0,0,4,0,4,0,0,0,1,1,2,0,0,0,5,1,6
2020-11-09,0,0,0,7,6,13,1,2,3,0,2,2,0,0,0,8,10,18
2020-11-10,0,0,0,4,7,11,1,2,3,0,1,1,0,0,0,5,10,15
2020-11-11,0,0,0,3,4,7,1,1,2,0,1,1,0,0,0,4,6,10
2020-11-12,0,0,0,1,1,2,1,1,2,0,0,0,0,0,0,2,2,4
2020-11-13,0,0,0,6,2,8,1,0,1,0,2,2,0,0,0,7,4,11
2020-11-14,1,0,1,3,1,4,0,1,1,2,0,2,0,0,0,6,2,8
2020-11-15,0,0,0,5,3,8,0,0,0,0,0,0,0,0,0,5,3,8
2020-11-16,0,0,0,7,2,9,0,0,0,0,2,2,0,0,0,7,4,11
2020-11-17,0,0,0,4,4,8,1,0,1,3,1,4,0,0,0,8,5,13
2020-11-18,0,0,0,4,1,5,1,0,1,1,0,1,0,0,0,6,1,7
2020-11-19,0,0,0,2,2,4,0,0,0,1,1,2,0,0,0,3,3,6
2020-11-20,0,0,0,5,1,6,1,0,1,0,1,1,0,0,0,6,2,8
2020-11-21,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,2,1,3
2020-11-22,0,0,0,2,4,6,1,0,1,2,0,2,0,0,0,5,4,9
2020-11-23,0,0,0,1,4,5,0,0,0,1,1,2,0,0,0,2,5,7
2020-11-24,0,0,0,4,1,5,1,0,1,0,0,0,0,0,0,5,1,6
2020-11-25,0,0,0,4,2,6,1,2,3,1,0,1,0,0,0,6,4,10
2020-11-26,0,0,0,2,2,4,1,0,1,2,0,2,0,0,0,5,2,7
2020-11-27,0,0,0,2,4,6,1,0,1,1,0,1,0,0,0,4,4,8
2020-11-28,0,0,0,1,2,3,1,0,1,1,0,1,0,0,0,3,2,5
2020-11-29,0,0,0,2,1,3,0,0,0,1,0,1,0,0,0,3,1,4
2020-11-30,0,0,0,1,0,1,0,1,1,0,2,2,0,0,0,1,3,4
2020-12-01,0,0,0,2,1,3,0,0,0,0,1,1,0,0,0,2,2,4
2020-12-02,0,0,0,2,9,11,1,2,3,0,0,0,0,0,0,3,11,14
2020-12-03,0,0,0,4,0,4,1,2,3,0,0,0,0,0,0,5,2,7
2020-12-04,1,0,1,2,2,4,1,0,1,3,0,3,0,0,0,7,2,9
2020-12-05,0,0,0,3,3,6,2,0,2,0,0,0,0,0,0,5,3,8
2020-12-06,0,0,0,1,2,3,2,0,2,0,0,0,0,0,0,3,2,5
2020-12-07,0,0,0,4,2,6,2,0,2,0,1,1,0,0,0,6,3,9
2020-12-08,0,0,0,5,6,11,0,0,0,1,0,1,0,0,0,6,6,12
2020-12-09,0,0,0,0,1,1,0,1,1,2,0,2,0,0,0,2,2,4
2020-12-10,0,0,0,5,5,10,1,2,3,1,1,2,0,0,0,7,8,15
2020-12-11,0,0,0,1,4,5,1,0,1,0,2,2,0,0,0,2,6,8
2020-12-12,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,3,1,4
2020-12-13,0,0,0,5,0,5,1,0,1,2,1,3,0,0,0,8,1,9
